Epoch 001 | batch 2450/40032 | loss 0.992985 | data 0.992985 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2460/40032 | loss 0.992596 | data 0.992596 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2470/40032 | loss 0.992734 | data 0.992734 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2480/40032 | loss 0.993202 | data 0.993202 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2490/40032 | loss 0.993373 | data 0.993373 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2500/40032 | loss 0.994139 | data 0.994139 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2510/40032 | loss 0.994380 | data 0.994380 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2520/40032 | loss 0.993342 | data 0.993342 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2530/40032 | loss 0.993380 | data 0.993380 | passive 0.000001 | lr 5.000000e-04
Epoch 001 | batch 2540/40032 | loss 0.992240 | data 0.992240 | passive 0.000001 | lr 5.000000e-04
